UF;Municipio;Cod. IBGE;Obitos;Feridos;Enfermos;Desalojados;Desabrigados;Desaparecidos;Outros;Total;Ocorrencias;Danos Materiais Totais (R$);Prejuízos Privados;Prejuízos Públicos
MG;Taiobeiras;3168002;0;12;0;22;0;0;64242;64276;30;470.047,74;92.773.178,28;28.419.007,19
TO;Taipas do Tocantins;1720937;0;0;0;0;0;0;1518;1518;6;0,00;2.800.658,93;138.654,55
RN;Taipu;2413904;0;0;0;0;0;0;63819;63819;21;0,00;9.408.632,54;2.322.692,92
PE;Tamandaré;2614857;0;0;0;816;453;0;9880;11149;5;1.072.677,38;7.127.688,06;5.471.523,01
PR;Tamarana;4126678;0;0;0;200;16;0;14192;14408;3;13.223.073,76;127.756.322,39;9.337.205,67
SP;Tambaú;3553302;0;0;0;0;0;0;19930;19930;3;1.826.866,11;27.425.540,11;6.024.110,54
CE;Tamboril;2313203;0;0;3885;0;0;0;64713;68598;31;1.017.615,33;198.189.460,65;26.045.449,41
PI;Tamboril do Piauí;2210953;0;0;0;0;0;0;8912;8912;15;0,00;11.790.877,27;56.835.965,79
SP;Tanabi;3553401;0;4;0;0;0;0;3366;3370;3;1.691.176,12;0,00;5.118.684,89
SC;Tangará;4217907;0;0;10;41;11;0;3120;3182;40;14.822.857,86;68.088.276,35;2.365.557,01
RN;Tangará;2414001;0;0;86;0;0;0;64845;64931;24;3.675.199,46;54.948.609,59;22.214.789,87
MT;Tangará da Serra;5107958;0;160;9;5;5;0;81050;81229;6;7.560.227,59;113.897.045,99;6.794.090,00
RJ;Tanguá;3305752;0;28;359;5952;449;0;6283;13071;8;47.001.798,77;5.793.226,47;6.771.697,98
BA;Tanhaçu;2931004;0;0;0;600;0;0;142741;143341;27;2.076.000,72;60.589.015,54;2.345.812,99
AL;Tanque D`Arca;2709004;0;0;0;0;0;0;16226;16226;4;339.355,93;11.719.797,89;203.613,56
PI;Tanque do Piauí;2210979;0;0;0;0;0;0;8090;8090;16;0,00;8.663.580,26;4.766.048,08
BA;Tanque Novo;2931053;0;0;0;0;0;0;132845;132845;24;0,00;57.162.383,79;5.710.701,59
BA;Tanquinho;2931103;0;0;0;0;0;0;49088;49088;19;0,00;23.361.836,57;5.334.834,32
MG;Taparuba;3168051;0;0;0;706;30;0;27;763;7;2.294.301,22;2.633.714,05;1.280.086,15
