UF;Municipio;Cod. IBGE;Obitos;Feridos;Enfermos;Desalojados;Desabrigados;Desaparecidos;Outros;Total;Ocorrencias;Danos Materiais Totais (R$);Prejuízos Privados;Prejuízos Públicos
MG;Araçuaí;3103405;0;0;0;380;60;0;101016;101456;35;65.673.399,16;67.485.016,77;23.177.418,88
GO;Aragarças;5201702;0;5;0;0;0;0;0;5;1;634.010,10;0,00;0,00
TO;Araguacema;1701903;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
TO;Araguaçu;1702000;0;0;0;0;0;0;0;0;1;0,00;0,00;0,00
MT;Araguaiana;5101001;0;0;0;0;0;0;0;0;1;0,00;204.424,12;0,00
TO;Araguaína;1702109;0;81;455;611;146;0;37585;38878;5;21.507.331,64;9.476.421,87;23.285.544,16
TO;Araguanã;1702158;0;0;89;480;710;0;0;1279;6;1.946.098,42;62.381,44;158.986,87
MA;Araguanã;2100873;0;0;0;0;84;0;11178;11262;3;16.028.154,57;1.446.346,98;1.744.413,06
MG;Araguari;3103504;0;0;0;12;22;0;3;37;4;13.305.277,81;51.451,92;739.762,16
TO;Araguatins;1702208;0;0;0;34;8;3;185;230;5;10.025.908,53;1.048.615,18;2.548.451,59
MA;Araioses;2100907;0;51;2498;5361;3512;0;1997;13419;5;55.434.864,35;13.898.563,00;1.256.302,38
MS;Aral Moreira;5001243;0;0;0;2;0;0;5566;5568;9;2.462,18;45.179.371,21;5.926.967,63
BA;Aramari;2902203;0;6;22;175;100;0;594;897;7;4.619.411,28;542.047,99;1.067.757,39
RS;Arambaré;4300851;0;0;0;113;51;0;350;514;9;7.781.774,36;3.203.425,76;852.710,55
MA;Arame;2100956;0;0;89;2123;50;0;17787;20049;5;15.145.874,96;0,00;258.740,05
MG;Arantina;3103603;0;0;0;170;18;0;610;798;3;59.511,62;0,00;30.891,02
SP;Arapeí;3503158;0;1;0;0;0;0;0;1;2;0,00;0,00;0,00
AL;Arapiraca;2700300;0;0;0;0;0;0;152500;152500;14;1.971.838,27;38.644.988,88;1.437.353,39
MG;Araponga;3103702;0;0;0;102;27;0;11300;11429;3;3.305.603,99;0,00;1.312.898,47
PR;Arapongas;4101507;0;0;0;46;0;0;93200;93246;3;13.126.155,29;0,00;18.712.623,01
PR;Arapoti;4101606;0;0;0;207;39;0;210;456;4;9.214.816,05;21.728.415,23;304.902,01
MG;Arapuá;3103801;0;0;0;6;0;0;1;7;1;926.165,80;0,00;34.602,50
PR;Arapuã;4101655;0;0;0;0;0;0;500;500;1;415.662,38;95.397,92;294.370,73
MT;Araputanga;5101258;0;0;0;0;0;0;1000;1000;2;5.072.108,22;817.696,48;408.848,24
SC;Araquari;4201307;0;0;2;1425;59;0;9670;11156;24;7.581.841,75;4.894.234,31;1.033.751,95
PB;Arara;2500908;0;0;2;239;193;0;92504;92938;28;1.035.904,54;70.606.956,09;24.844.510,44
SC;Araranguá;4201406;2;58;366;6485;3212;20;238278;248421;30;49.892.661,62;120.001.325,14;9.175.298,99
SP;Araraquara;3503208;0;4;0;33;1;0;0;38;8;0,00;0,00;0,00
SP;Araras;3503307;0;2;1;14;0;0;0;17;1;0,00;0,00;0,00
CE;Ararendá;2301257;0;0;4521;0;0;0;23641;28162;20;754.124,30;32.121.610,18;1.481.964,63
MA;Arari;2101004;0;24;72;5016;1303;0;15964;22379;5;38.392.108,94;5.038.741,61;583.397,72
RS;Araricá;4300877;0;3;0;143;23;0;5998;6167;6;2.444.218,10;6.371.737,99;944.197,47
CE;Araripe;2301307;0;0;0;724;178;0;156629;157531;28;2.334.031,41;220.705.417,12;21.889.430,51
PE;Araripina;2601102;0;1;57;702;511;0;210563;211834;31;10.301.841,19;637.008.041,77;40.901.150,00
RJ;Araruama;3300209;0;1;10;4653;374;0;38000;43038;4;44.325.112,04;1.247.449,76;17.077.604,39
PB;Araruna;2501005;0;0;0;0;0;0;151409;151409;23;0,00;69.546.138,91;42.927.131,46
PR;Araruna;4101705;1;0;130;105;0;0;15095;15331;6;1.829.928,37;29.782,92;2.326.734,10
RS;Aratiba;4300901;0;0;0;0;10;0;250;260;17;263.969,71;64.814.001,20;640.757,07
CE;Aratuba;2301406;0;0;0;0;0;0;29416;29416;14;0,00;51.081.115,13;5.988.815,44
BA;Aratuípe;2902302;0;8;23;840;205;0;4821;5897;2;4.687.974,91;24.886,11;2.184.195,63
SE;Arauá;2800407;0;0;0;0;0;0;3171;3171;5;0,00;0,00;0,00
PR;Araucária;4101804;0;7;0;2280;263;0;6570;9120;17;2.408.149,42;1.777.925,44;4.234,74
MG;Araxá;3104007;0;1;0;182;0;0;0;183;3;204.334,16;0,00;0,00
MG;Arceburgo;3104106;0;0;0;2;0;0;150;152;2;0,00;0,00;0,00
SP;Arco-Íris;3503356;0;0;0;0;0;0;400;400;1;69.204,99;5.351,85;87.659,66
MG;Arcos;3104205;0;0;0;50;0;0;500;550;1;9.179.578,03;150.824,87;0,00
PE;Arcoverde;2601201;0;0;0;0;0;0;66125;66125;29;1.623.082,35;162.473.811,08;37.672.883,05
RJ;Areal;3300225;0;16;0;1148;1526;0;7270;9960;5;134.626.916,06;19.665,77;4.176.983,50
PB;Areia;2501104;0;0;0;61;221;0;83079;83361;27;1.172.071,70;69.851.923,06;28.989.287,64
RN;Areia Branca;2401107;0;0;0;0;0;0;85714;85714;18;0,00;20.887.133,62;4.248.150,07
SE;Areia Branca;2800506;0;0;0;0;0;0;0;0;2;0,00;0,00;0,00
PB;Areia de Baraúnas;2501153;0;0;0;181;0;0;12394;12575;26;664.100,42;14.641.944,99;6.628.646,49
PB;Areial;2501203;0;0;0;0;0;0;51863;51863;27;0,00;29.405.010,81;14.890.632,17
SP;Areias;3503505;0;1;0;79;0;0;87;167;5;653.378,76;0,00;338.788,99
SP;Areiópolis;3503604;0;1;0;0;0;0;0;1;1;0,00;0,00;0,00
MT;Arenápolis;5101308;0;0;0;120;0;0;0;120;5;5.488.701,50;6.464.448,13;1.155.670,83
RN;Arês;2401206;0;0;0;0;0;0;18094;18094;5;0,00;6.526.904,36;1.141.882,38
MG;Argirita;3104403;0;0;0;5;5;0;474;484;3;1.362.551,70;188.081,46;225.929,44
MG;Aricanduva;3104452;0;0;0;18;75;0;15260;15353;16;3.567.997,14;55.945.100,71;4.391.858,80
MG;Arinos;3104502;0;0;44;957;126;0;84724;85851;28;17.842.862,09;222.345.543,50;51.189.003,17
MT;Aripuanã;5101407;2;6;200;18;0;0;61268;61494;15;61.891.589,41;31.270.539,41;47.634.613,82
RO;Ariquemes;1100023;0;0;0;37;15;0;0;52;2;270.000,00;0,00;0,00
PR;Ariranha do Ivaí;4101853;0;0;0;10;0;0;750;760;4;1.349.995,76;18.832.866,25;734.564,01
RJ;Armação dos Búzios;3300233;0;0;1;245;42;0;0;288;1;8.062.030,55;1.131.513,06;4.031.015,27
SC;Armazém;4201505;0;0;0;357;57;0;344;758;22;9.630.137,37;36.061.627,10;19.524.986,70
CE;Arneiroz;2301505;0;0;0;0;46;0;45193;45239;26;3.781.592,82;52.710.553,49;8.159.662,59
PI;Aroazes;2200905;1;0;235;42;0;0;4177;4455;17;4.202.357,67;17.595.217,19;7.737.979,58
PB;Aroeiras;2501302;0;0;0;306;260;0;159340;159906;29;3.082.827,15;100.532.400,45;67.417.476,16
PI;Aroeiras do Itaim;2200954;0;0;0;120;0;0;9079;9199;12;1.069.204,42;12.606.747,88;1.066.676,13
PI;Arraial;2201002;0;0;0;120;0;0;1685;1805;13;961.508,48;2.280.310,99;49.018,07
RJ;Arraial do Cabo;3300258;0;0;0;51;36;0;10800;10887;1;1.675.630,00;105.000,00;200.000,00
TO;Arraias;1702406;0;0;0;234;68;0;11028;11330;11;7.883.257,58;19.742.206,38;16.981.535,58
RS;Arroio do Meio;4301008;0;4;0;778;529;0;19810;21121;26;10.553.841,95;24.295.867,27;3.783.365,23
RS;Arroio do Padre;4301073;0;5;4;50;85;0;6396;6540;7;1.752.591,97;19.147.088,05;580.826,58
RS;Arroio do Sal;4301057;0;0;0;1435;260;0;18553;20248;7;7.765.100,42;2.543.184,54;3.938.583,32
RS;Arroio dos Ratos;4301107;0;0;0;102;2;0;90;194;4;1.976.901,27;408.329,69;56.554,18
RS;Arroio do Tigre;4301206;0;0;0;114;8;0;32179;32301;22;5.778.929,39;224.440.238,95;1.921.264,89
RS;Arroio Grande;4301305;0;0;20;1720;288;0;2729;4757;23;10.254.046,97;341.936.483,40;3.916.652,91
SC;Arroio Trinta;4201604;0;0;0;8;0;0;75;83;9;1.047.221,32;10.472.262,48;264.878,04
GO;Aruanã;5202502;0;0;0;0;0;0;5;5;2;9.908.959,44;0,00;0,00
SP;Arujá;3503901;0;1;0;0;0;0;0;1;1;0,00;0,00;0,00
SC;Arvoredo;4201653;0;0;0;130;5;0;479;614;17;3.252.870,45;33.707.896,01;1.690.775,86
RS;Arvorezinha;4301404;0;0;0;100;5;0;10114;10219;16;9.952.061,04;79.424.242,66;424.317,41
SC;Ascurra;4201703;1;33;0;1122;200;0;20005;21361;15;6.004.595,30;7.924.965,85;2.737.055,38
PR;Assaí;4101903;0;2;2;86;22;0;2153;2265;6;713.035,46;1.087.728,59;2.190.079,55
CE;Assaré;2301604;0;0;0;0;0;0;152850;152850;26;0,00;281.115.162,66;7.683.848,23
SP;Assis;3504008;1;2;0;6;0;0;20112;20121;6;3.892.000,34;175.590,81;187.947,23
AC;Assis Brasil;1200054;0;0;0;1370;394;0;9847;11611;5;4.153.689,48;0,00;0,00
PR;Assis Chateaubriand;4102000;0;0;0;639;0;0;2737;3376;10;7.377.237,43;288.507.865,15;45.637,04
PB;Assunção;2501351;0;0;0;0;25;0;19701;19726;28;406.777,82;27.762.879,92;30.204.713,91
PI;Assunção do Piauí;2201051;0;0;0;271;110;10;30782;31173;24;5.595.756,81;168.329.857,50;8.591.446,75
MG;Astolfo Dutra;3104601;0;1;0;490;1427;0;1165;3083;6;10.717.763,86;1.366.971,34;1.333.495,37
PR;Astorga;4102109;0;6;0;38;35;0;0;79;1;1.083.282,43;18.782.064,49;0,00
AL;Atalaia;2700409;0;0;0;7360;241;0;56959;64560;11;9.556.056,05;6.897.430,92;876.596,57
PR;Atalaia;4102208;0;0;0;20;0;0;1794;1814;4;1.775.925,61;10.021.935,59;843.938,78
AM;Atalaia do Norte;1300201;4;22;3224;6394;1835;0;22542;34021;15;41.996.700,42;14.515.705,48;4.911.164,06
SC;Atalanta;4201802;0;0;0;211;58;0;1152;1421;21;4.047.249,59;24.507.709,12;1.636.021,21
MG;Ataléia;3104700;0;8;0;528;62;0;16207;16805;15;42.244.878,14;21.629.933,82;3.746.261,51
SP;Atibaia;3504107;11;16;2;5179;1684;21;101910;108823;23;110.406.733,56;21.584.638,79;64.735.689,10
ES;Atilio Vivacqua;3200706;0;20;16;626;190;1;392;1245;5;13.156.214,35;911.365,40;2.037.457,68
PA;Augusto Corrêa;1500909;0;114;2750;37;18;0;12861;15780;9;5.290.002,94;5.908.952,85;3.797.929,20
MG;Augusto de Lima;3104809;0;0;0;25;38;0;9208;9271;11;2.059.570,82;55.963.865,47;1.452.786,85
RS;Augusto Pestana;4301503;0;0;0;0;0;0;3000;3000;12;0,00;56.355.193,66;115.341,65
RS;Áurea;4301552;0;0;0;2;0;0;4732;4734;16;2.034.954,05;48.553.048,14;2.876.802,84
BA;Aurelino Leal;2902401;0;1;10;208;76;0;954;1249;2;7.604.577,31;0,00;968.248,84
SP;Auriflama;3504206;0;0;0;0;6;0;6;12;1;4.091.441,65;0,00;0,00
GO;Aurilândia;5202601;0;0;0;0;0;0;1245;1245;1;1.060.793,49;1.478.038,93;1.060.793,49
CE;Aurora;2301703;0;0;0;1040;780;0;148597;150417;24;3.493.324,07;89.957.666,86;4.451.031,26
SC;Aurora;4201901;1;4;0;2232;463;0;22143;24843;24;15.415.574,44;80.343.619,55;5.296.020,68
PA;Aurora do Pará;1500958;0;0;0;187;0;0;19339;19526;2;16.558.307,25;301.649,72;3.016,49
TO;Aurora do Tocantins;1702703;0;0;0;0;0;0;1934;1934;6;0,00;4.359.993,39;22.486,08
AM;Autazes;1300300;3;0;688;32807;8867;0;54948;97313;13;62.934.644,69;33.143.986,53;30.242.287,28
SP;Avanhandava;3504404;0;0;0;0;30;0;0;30;2;1.401.573,36;0,00;0,00
SP;Avaré;3504503;1;2;1;2700;0;0;84000;86704;7;142.548.024,37;7.402.347,53;2.714.288,95
PA;Aveiro;1501006;1;3;1746;5968;881;1;46556;55156;20;41.746.304,09;2.671.993,23;9.734.421,03
PI;Avelino Lopes;2201101;0;0;0;0;0;0;43351;43351;21;0,00;146.629.973,33;13.575.722,82
MA;Axixá;2101103;0;0;0;40;0;0;822;862;2;841.985,82;0,00;272.956,31
MA;Bacabal;2101202;1;0;0;11165;6566;1;20087;37820;6;16.023.003,37;1.371.167,66;371.049,90
MA;Bacuri;2101301;0;1;0;1387;0;0;4945;6333;3;5.765.541,10;1.117.272,87;1.089.747,32
MG;Baependi;3104908;0;0;0;10;0;0;219;229;4;4.696.889,49;4.519.364,45;110.275,04
RS;Bagé;4301602;0;2;0;1772;38;0;195021;196833;14;59.200.852,26;322.064.864,22;34.386.372,60
PA;Bagre;1501105;0;0;6;265;0;0;9736;10007;1;0,00;0,00;0,00
PB;Baía da Traição;2501401;0;0;0;55;0;0;3108;3163;1;2.315.161,60;207.384,18;0,00
RN;Baía Formosa;2401404;0;0;56;156;192;0;13502;13906;8;975.858,79;6.960.020,00;2.523.672,04
BA;Baianópolis;2902500;0;0;0;0;0;0;12654;12654;6;0,00;76.847.194,57;1.119.164,64
PA;Baião;1501204;1;0;1805;2300;742;0;4472;9320;11;3.379.579,04;66.038,68;95.613,92
BA;Baixa Grande;2902609;0;0;0;270;325;0;112546;113141;27;2.095.268,82;89.862.301,08;9.399.088,19
PI;Baixa Grande do Ribeiro;2201150;0;0;0;0;0;0;399;399;3;0,00;213.573.090,23;848.634,80
CE;Baixio;2301802;0;0;0;0;0;0;40822;40822;21;1.631.170,86;51.637.157,62;9.129.641,97
ES;Baixo Guandu;3200805;1;7;0;1428;127;0;77689;79252;41;13.007.211,08;162.772.245,78;4.304.581,66
MG;Baldim;3105004;0;8;0;135;37;0;4288;4468;3;5.828.837,25;4.209.526,96;2.335.235,62
GO;Baliza;5203104;0;0;0;0;0;0;0;0;2;4.407.908,88;0,00;1.006.602,76
SC;Balneário Arroio do Silva;4201950;0;0;0;410;165;0;1000;1575;11;11.947.194,55;671.090,72;1.163.678,46
SC;Balneário Barra do Sul;4202057;3;5;40;1805;158;0;25330;27341;24;13.394.650,00;5.354.315,71;10.562.386,71
SC;Balneário Camboriú;4202008;2;1;0;8360;474;0;33240;42077;17;6.705.339,98;7.093.357,89;4.756.994,60
SC;Balneário Gaivota;4202073;0;20;0;500;92;0;3148;3760;14;16.092.396,17;31.037.559,36;2.097.637,45
SC;Balneário Piçarras;4212809;0;237;144;3772;100;0;36384;40637;16;19.568.820,33;3.835.451,63;5.961.798,23
RS;Balneário Pinhal;4301636;0;18;1;1523;316;0;7933;9791;3;0,00;1.338.570,63;8.139.678,33
SC;Balneário Rincão;4220000;0;0;0;147;0;0;13920;14067;7;3.601.875,47;245.990,36;1.780.656,61
MA;Balsas;2101400;0;0;468;2331;36;0;25856;28691;6;19.262.695,95;8.586.148,71;519.773,66
MG;Bambuí;3105103;0;7;0;619;4544;0;8750;13920;4;4.339.143,01;949.621,66;430.783,75
CE;Banabuiú;2301851;0;0;0;94;68;0;141323;141485;30;936.999,45;34.948.008,81;15.380.896,20
SP;Bananal;3504909;3;5;0;475;0;0;242;725;6;0,00;836.226,99;0,00
PB;Bananeiras;2501500;0;0;0;0;117;0;175148;175265;29;1.772.122,69;107.368.932,85;52.308.124,89
MG;Bandeira;3105202;0;0;0;240;0;0;29872;30112;20;3.063.090,67;30.410.411,83;2.474.146,10
MG;Bandeira do Sul;3105301;0;0;0;0;26;0;0;26;2;93.687,20;0,00;0,00
SC;Bandeirante;4202081;0;0;53;0;0;0;1900;1953;12;463.585,33;22.072.993,03;741.841,69
PR;Bandeirantes;4102406;0;5;0;848;245;0;10307;11405;5;46.310.844,44;11.481.124,16;10.704.611,32
MS;Bandeirantes;5001508;0;8;0;150;0;0;1978;2136;2;613.866,84;0,00;95.649,72
PA;Bannach;1501253;0;0;0;2;0;0;13234;13236;9;18.439.373,10;53.775.618,14;1.655.495,29
BA;Banzaê;2902658;0;0;0;210;15;0;28513;28738;15;306.152,57;33.027.861,90;218.547,92
RS;Barão;4301651;0;0;0;0;0;0;1;1;7;0,00;0,00;0,00
MG;Barão de Cocais;3105400;1;0;1;150;15;0;1361;1528;5;1.614.932,33;0,00;27.102,21
RS;Barão de Cotegipe;4301701;0;0;0;75;10;0;928;1013;13;1.995.208,71;61.469.149,80;2.263.669,53
MA;Barão de Grajaú;2101509;0;0;0;0;0;0;17841;17841;4;15.770.146,02;350.184,87;584.880,00
MT;Barão de Melgaço;5101605;0;0;77;0;2800;0;16580;19457;11;6.026.611,38;0,00;5.870.994,23
MG;Barão de Monte Alto;3105509;0;0;0;54;28;0;213;295;1;52.235,49;522.354,92;119.395,41
RS;Barão do Triunfo;4301750;0;0;0;44;0;0;16370;16414;10;3.025.310,58;73.937.582,19;3.119.773,66
RN;Baraúna;2401453;0;0;223;66;0;0;168425;168714;21;5.809.260,17;49.850.566,86;6.702.024,07
PB;Baraúna;2501534;0;0;0;131;0;0;35353;35484;30;955.812,98;25.480.026,51;18.044.895,49
MG;Barbacena;3105608;1;2;1;336;64;0;183;587;7;9.127.576,43;27.263.957,11;390.500,11
CE;Barbalha;2301901;0;0;0;410;205;0;21597;22212;11;9.798.522,29;424.194.285,97;6.646.808,26
PR;Barbosa Ferraz;4102505;0;0;0;292;172;0;20565;21029;11;2.612.032,44;22.735.910,68;1.823.439,69
PA;Barcarena;1501303;0;0;2240;432;0;0;42696;45368;5;500.000,00;4.094.168,71;463.692,32
RN;Barcelona;2401503;0;0;0;0;0;0;19580;19580;22;144.785,33;8.158.669,30;3.067.665,45
AM;Barcelos;1300409;0;0;3250;270;33;0;31527;35080;5;600.335,04;4.678.680,96;709.630,44
SP;Bariri;3505203;0;0;1;0;0;0;0;1;1;0,00;0,00;0,00
BA;Barra;2902708;0;0;0;20;0;0;208417;208437;24;4.679.349,83;48.932.058,62;2.685.285,03
SC;Barra Bonita;4202099;0;0;0;3;0;0;220;223;14;933.438,23;32.384.691,47;624.154,08
SP;Barra Bonita;3505302;0;0;0;0;0;0;1;1;2;0,00;0,00;0,00
RS;Barracão;4301800;0;0;0;0;0;0;0;0;21;509.543,42;65.241.534,53;143.843,44
PR;Barracão;4102604;1;0;0;193;27;0;5548;5769;19;9.161.667,40;57.531.136,81;928.111,25
PI;Barra D`Alcântara;2201176;0;0;0;0;0;0;24;24;10;0,00;4.381.423,06;1.306.981,13
BA;Barra da Estiva;2902807;0;0;0;0;0;0;68390;68390;19;57.670,83;152.199.325,34;829.443,88
PE;Barra de Guabiraba;2601300;1;321;122;8365;4746;0;5096;18651;10;19.491.094,76;29.737.764,22;8.113.818,89
PB;Barra de Santana;2501575;0;0;0;375;25;0;65763;66163;30;2.052.873,76;46.997.193,63;34.695.827,33
PB;Barra de Santa Rosa;2501609;0;0;0;0;0;0;113504;113504;28;463.846,50;95.050.208,76;39.134.148,07
AL;Barra de Santo Antônio;2700508;0;4;1;280;55;0;66;406;8;11.512.975,48;575.106,60;762.448,12
ES;Barra de São Francisco;3200904;24;309;5345;15092;1178;0;128139;150087;52;37.796.656,28;434.157.090,31;30.203.732,82
PB;Barra de São Miguel;2501708;0;0;0;0;0;0;44972;44972;25;0,00;29.612.529,27;21.448.721,34
AL;Barra de São Miguel;2700607;3;3;0;353;130;0;175;664;2;5.269.443,55;0,00;3.337.000,02
MT;Barra do Bugres;5101704;0;2;0;272;52;0;7607;7933;6;21.323.856,15;5.993.417,91;4.428.875,38
SP;Barra do Chapéu;3505351;0;0;0;5;15;0;0;20;2;749.225,23;9.036.110,39;0,00
BA;Barra do Choça;2902906;0;0;0;36;72;0;84405;84513;11;3.138.880,51;198.231.268,38;238.828,33
MA;Barra do Corda;2101608;0;0;0;250;140;0;8056;8446;3;5.854.528,23;6.344.070,67;0,00
MT;Barra do Garças;5101803;0;38;32;207;460;0;28453;29190;9;8.929.537,38;9.742.872,84;1.586.096,23
RS;Barra do Guarita;4301859;0;13;8;1834;315;0;6222;8392;18;9.956.064,92;22.020.869,37;3.296.341,72
PR;Barra do Jacaré;4102703;0;0;0;40;0;0;0;40;1;904.474,68;193.241,22;658.187,44
BA;Barra do Mendes;2903003;0;0;0;0;0;0;94473;94473;19;0,00;31.878.881,80;787.040,35
RJ;Barra do Piraí;3300308;0;10;2;8348;1703;0;34119;44182;14;124.487.871,52;7.946.932,18;35.352.263,75
RS;Barra do Quaraí;4301875;0;0;0;428;125;45;3661;4259;13;2.353.207,66;126.142.648,26;1.557.102,97
RS;Barra do Ribeiro;4301909;0;1;2;5129;232;0;733;6097;7;7.610.818,77;7.703.259,67;839.365,45
RS;Barra do Rio Azul;4301925;0;0;0;95;5;0;4153;4253;20;8.371.610,53;38.309.305,47;4.387.519,95
BA;Barra do Rocha;2903102;0;0;18;150;38;0;0;206;3;2.403.817,87;356.320,35;2.927.059,22
SE;Barra dos Coqueiros;2800605;0;0;0;65;129;0;31500;31694;5;4.463.502,76;12.600,00;0,00
SP;Barra do Turvo;3505401;1;2;20;204;317;0;6436;6980;11;34.644.539,83;15.581.059,82;17.651.943,60
RS;Barra Funda;4301958;0;0;0;29;0;0;1256;1285;8;417.122,71;20.807.928,14;523.083,00
MG;Barra Longa;3105707;1;0;1;371;32;0;2004;2409;9;11.069.949,94;796.816,02;253.236,90
RJ;Barra Mansa;3300407;3;2;2180;9040;154;0;93070;104449;18;75.530.113,70;8.329.246,35;10.460.551,39
PI;Barras;2201200;0;14;300;10273;5623;0;5445;21655;15;60.360.059,47;132.877.939,24;22.556.415,71
SC;Barra Velha;4202107;2;28;45;2009;4722;0;21055;27861;24;23.306.404,25;3.726.768,53;5.627.779,55
CE;Barreira;2301950;0;0;0;0;115;0;99085;99200;22;1.251.358,92;24.496.064,92;23.293.459,85
BA;Barreiras;2903201;0;0;0;32;0;0;142428;142460;4;0,00;0,00;0,00
PI;Barreiras do Piauí;2201309;0;0;0;0;0;0;4651;4651;9;0,00;8.971.831,71;0,00
AM;Barreirinha;1300508;0;665;1198;9914;3665;0;66345;81787;15;63.411.118,22;29.025.819,43;59.853.869,70
MA;Barreirinhas;2101707;0;0;0;0;0;0;0;0;2;425.866,55;0,00;0,00
PE;Barreiros;2601409;2;40;900;50438;2266;0;49058;102704;10;422.178.563,44;21.038.535,52;5.146.815,73
SP;Barretos;3505500;4;4;2;553;8;0;12001;12572;5;2.402.964,22;1.780.550,32;315.096,17
CE;Barro;2302008;0;0;17831;65;0;0;82134;100030;24;1.131.078,14;136.843.934,62;22.433.622,82
BA;Barro Alto;2903235;0;0;0;0;0;0;88978;88978;19;0,00;20.728.091,58;1.142.179,90
BA;Barrocas;2903276;0;0;0;0;0;0;50745;50745;17;0,00;341.360.269,06;2.065.264,82
PI;Barro Duro;2201408;0;0;0;0;0;0;240;240;8;0,00;5.205.927,49;1.540.823,41
BA;Barro Preto;2903300;0;0;0;0;0;0;0;0;2;1.124.410,82;1.447.302,06;1.216.508,16
CE;Barroquinha;2302057;0;0;0;256;202;0;71343;71801;25;2.373.484,56;53.524.726,25;4.615.605,28
RS;Barros Cassal;4302006;2;3;0;197;45;0;48552;48799;20;19.017.135,37;82.127.301,31;13.773.611,46
MG;Barroso;3105905;0;0;0;320;35;0;0;355;3;1.197.937,28;5.660,62;0,00
SP;Barueri;3505708;4;6;1;39;0;0;0;50;7;0,00;0,00;0,00
SP;Bastos;3505807;0;0;0;0;0;0;0;0;2;269.239,84;1.900.833,28;269.239,84
MS;Bataguassu;5001904;1;2;0;58;15;0;19830;19906;8;1.809.484,83;0,00;180.806,80
PI;Batalha;2201507;0;0;0;1997;623;1;29721;32342;13;28.304.011,47;8.923.175,59;1.295.121,23
AL;Batalha;2700706;0;0;0;0;848;0;49285;50133;25;1.868.196,46;58.868.277,50;4.606.370,93
MS;Batayporã;5002001;0;3;2;2543;868;0;17624;21040;17;56.325.346,52;86.279.604,28;28.946.330,87
CE;Baturité;2302107;0;0;0;1879;191;0;63798;65868;14;6.739.871,92;29.773.895,11;2.293.356,05
SP;Bauru;3506003;5;8;2;42;0;0;4928;4985;10;7.248.724,28;14.343,89;2.872.108,69
PB;Bayeux;2501807;0;0;0;201;5617;0;20000;25818;5;2.870.986,64;461.796,25;2.110.708,73
SP;Bebedouro;3506102;2;8;3708;537;90;0;76038;80383;6;17.879.085,92;225.859,33;13.953.044,00
CE;Beberibe;2302206;0;0;0;115;0;0;243393;243508;27;1.379.298,58;65.951.226,37;9.324.618,05
CE;Bela Cruz;2302305;2;38;157;3579;2032;0;137100;142908;25;4.713.120,78;116.732.971,88;2.735.174,09
MA;Belágua;2101731;0;0;0;475;389;0;1220;2084;3;2.631.704,48;986.989,22;2.071.950,58
MS;Bela Vista;5002100;2;3;10;627;668;0;63164;64474;27;37.094.339,75;66.089.284,46;8.051.454,06
PR;Bela Vista da Caroba;4102752;0;15;0;245;0;0;3965;4225;13;3.389.412,70;65.697.588,42;1.677.953,52
MG;Bela Vista de Minas;3106002;0;5;0;445;41;0;3122;3613;5;3.075.776,67;1.765.441,44;2.453.727,72
MA;Bela Vista do Maranhão;2101772;0;0;0;703;882;0;3061;4646;3;3.149.376,45;1.609.536,89;2.843,29
PR;Bela Vista do Paraíso;4102802;0;0;0;1317;0;0;1850;3167;5;1.207.386,06;0,00;76.114,57
PI;Bela Vista do Piauí;2201556;0;0;0;0;0;0;15297;15297;19;0,00;246.379.732,01;1.426.949,29
SC;Bela Vista do Toldo;4202131;0;0;0;46;0;0;3383;3429;19;3.663.870,66;64.204.201,21;754.474,69
PA;Belém;1501402;0;1;0;278;0;0;0;279;14;1.353.108,00;0,00;0,00
PB;Belém;2501906;1;0;0;255;160;0;88265;88681;21;2.205.538,24;82.109.743,12;11.009.068,44
AL;Belém;2700805;0;0;300;50;0;0;7899;8249;4;70.719,57;9.087.679,52;122.381,47
PE;Belém de Maria;2601508;1;109;126;7785;2760;1;10341;21123;8;79.363.474,25;3.003.186,14;5.735.117,65
PB;Belém do Brejo do Cruz;2502003;0;0;0;0;0;0;37551;37551;21;0,00;19.393.014,79;31.471.735,30
PI;Belém do Piauí;2201572;0;0;0;360;0;0;21694;22054;25;410.295,45;204.813.408,70;29.625.520,29
PE;Belém do São Francisco;2601607;0;0;0;0;5;0;82671;82676;27;638.031,17;42.071.030,63;3.168.498,60
RJ;Belford Roxo;3300456;3;4789;1464;11155;1544;0;309144;328099;18;335.623.115,72;9.219.758,25;30.524.212,85
MG;Belmiro Braga;3106101;0;0;0;21;29;0;199;249;2;1.289.063,78;118.066,41;228.789,42
BA;Belmonte;2903409;0;25;165;5265;2687;0;5536;13678;11;20.934.272,90;8.618.877,78;5.052.192,73
SC;Belmonte;4202156;0;0;0;0;0;0;81;81;16;2.471.553,36;37.206.840,18;812.751,97
BA;Belo Campo;2903508;0;0;0;0;0;0;78645;78645;27;0,00;38.457.319,75;3.440.788,98
MG;Belo Horizonte;3106200;37;18;1;18249;796;0;4349214;4368315;28;175.692.100,58;5.031.935,75;19.798.382,81
PE;Belo Jardim;2601706;0;0;0;281;319;0;448238;448838;20;4.106.206,81;269.720.142,57;103.062.678,71
AL;Belo Monte;2700904;0;0;370;0;121;0;50665;51156;27;1.781.089,35;47.219.887,49;1.753.919,35
MG;Belo Oriente;3106309;1;6;1;176;105;0;5;294;1;12.579.264,63;792.362,44;173.457,00
